draw,incremental_qaly,incremental_cost,nmb_50000,nmb_150000
1,0.0427869944846897,11677.495970141956,-9538.14624590747,-5259.446797438501
2,0.02970940981964887,10756.755703519699,-9271.285212537256,-6300.344230572368
3,0.040925579054047034,8890.358172303848,-6844.079219601496,-2751.5213141967924
4,0.029598684375422124,10208.281421556494,-8728.347202785388,-5768.478765243175
5,0.04306977315549432,10851.466931634946,-8697.97827386023,-4391.0009583107985
6,0.045706137608682695,8982.34004904374,-6697.033168609605,-2126.419407741336
7,0.023506297805457876,11756.422711690475,-10581.107821417581,-8230.478040871792
8,0.04685929777231834,11195.332165041864,-8852.367276425946,-4166.437499194112
9,0.0318743361928,10081.431987310973,-8487.715177670972,-5300.281558390972
10,0.06424622595036666,9944.871328270732,-6732.560030752399,-307.93743571573214
11,0.0667092375485403,8723.764261771299,-5388.302384344284,1282.6213705097452
12,0.05101078147609783,8928.833609457932,-6378.29453565304,-1277.2163880432572
13,0.058094869422610884,7998.781939015338,-5094.038467884794,715.448474376295
14,0.030502435628569913,10302.56476966965,-8777.442988241155,-5727.199425384164
15,0.05930003524232674,10882.777827915148,-7917.776065798811,-1987.772541566137
16,0.028146801760136952,8867.08972961758,-7459.749641610733,-4645.069465597038
17,0.04453308338972661,10743.046482059435,-8516.392312573105,-4063.0839736004436
18,0.04994660941315132,11930.825366071076,-9433.49489541351,-4438.833954098378
19,0.03634547173672331,9463.665188371677,-7646.391601535512,-4011.8444278631796
20,0.025806540825232815,9486.25541269753,-8195.92837143589,-5615.2742889126075
21,0.02937606107329671,9135.054326662914,-7666.251272998078,-4728.645165668408
22,0.05755679092249366,12075.008925162978,-9197.169379038294,-3441.4902867889286
23,0.050799032527038435,9394.05769782015,-6854.106071468228,-1774.2028187643846
24,0.055117563195452135,10337.791850028249,-7581.913690255642,-2070.157370710429
25,0.07396597886512879,9731.405217015052,-6033.106273758613,1363.4916127542674
26,0.08701592918390588,8688.440237743827,-4337.643778548533,4363.949139842054
27,0.0372302968832976,8111.050887201505,-6249.536043036625,-2526.5063547068657
28,0.0585682050940477,10650.139964911818,-7721.729710209433,-1864.9092008046628
29,0.05294291266540796,10361.701782175232,-7714.556148904834,-2420.2648823640384
30,0.04058961847427511,9885.551285662528,-7856.070361948772,-3797.108514521261
31,0.05510201935285153,9659.46620820263,-6904.365240560053,-1394.1633052749003
32,0.028640877110085228,12464.280681306442,-11032.23682580218,-8168.149114793658
33,0.042983715819289614,9244.907428475697,-7095.721637511217,-2797.3500555822548
